证券代码,证券简称,行业中类,行业大类,行业门类,行业来源,更新截止
601689,拓普集团,底盘与发动机系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
601696,中银证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
601698,中国卫通,航天装备,电信、广播电视和卫星传输服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
601699,潞安环能,焦煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
601717,中创智领,能源及重型设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
601728,中国电信,电信运营商,电信、广播电视和卫星传输服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
601766,中国中车,轨交设备Ⅲ,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
601788,光大证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
601799,星宇股份,车身附件及饰件,汽车制造业,制造业,cninfo_stock_industry_change,20260423
601800,中国交建,基建市政工程,土木工程建筑业,建筑业,cninfo_stock_industry_change,20260423
601808,中海油服,油田服务,开采专业及辅助性活动,采矿业,cninfo_stock_industry_change,20260423
601816,京沪高铁,铁路运输,铁路运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
601818,光大银行,股份制银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
601825,沪农商行,农商行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
601838,成都银行,城商行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
601857,中国石油,炼油化工,石油和天然气开采业,采矿业,cninfo_stock_industry_change,20260423
601865,福莱特,光伏辅材,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
601866,中远海发,航运,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
601868,中国能建,基建市政工程,土木工程建筑业,建筑业,cninfo_stock_industry_change,20260423
601872,招商轮船,航运,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
601877,正泰电器,配电设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
601878,浙商证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
601880,辽港股份,港口,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
601881,中国银河,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
601888,中国中免,旅游零售Ⅲ,商务服务业,租赁和商务服务业,cninfo_stock_industry_change,20260423
601898,中煤能源,动力煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
601899,紫金矿业,铜,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
601901,方正证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
601916,浙商银行,股份制银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
601918,新集能源,动力煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
601919,中远海控,航运,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
601921,浙版传媒,教育出版,新闻和出版业,文化、体育和娱乐业,cninfo_stock_industry_change,20260423
601928,凤凰传媒,教育出版,新闻和出版业,文化、体育和娱乐业,cninfo_stock_industry_change,20260423
601939,建设银行,国有大型银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
601958,金钼股份,钼,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
601965,中国汽研,汽车综合服务,专业技术服务业,科学研究和技术服务业,cninfo_stock_industry_change,20260423
601966,玲珑轮胎,轮胎轮毂,橡胶和塑料制品业,制造业,cninfo_stock_industry_change,20260423
601985,中国核电,核力发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
601988,中国银行,国有大型银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
601990,南京证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
601991,大唐发电,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
601995,中金公司,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
601997,贵阳银行,城商行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
601998,中信银行,股份制银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
603000,人民网,门户网站,互联网和相关服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
603019,中科曙光,其他计算机设备,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603049,中策橡胶,轮胎轮毂,橡胶和塑料制品业,制造业,cninfo_stock_industry_change,20260423
603077,和邦生物,磷肥及磷化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
603087,甘李药业,其他生物制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
