universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
hs300,3y,f073dcf49474d0b663a63440bb299b83,net_profit_to_total_operate_revenue_ttm,净利润与营业总收入之比, 净利润与营业总收入之比=净利润（TTM）/营业总收入（TTM）,0.309140,0.097619,0.029600,0.210507,0.317353,0.006070,0.168740,0.055396,-0.010006,0.230945,0.090402,0.004893,-0.129245,-0.046727,0.248819,-0.757777,0.005481,0.066063,0.001074,0.012310,0.819945,0,0.105769,0.035376,0.101390,-0.040398,0.005481
hs300,3y,f32d862193276e6cedd553809016fb9b,PSY,心理线指标, n日内连续上涨的天数/n *100。 本因子的计算窗口为12日。,0.539916,0.161002,0.089056,0.190507,0.701394,0.240910,0.319305,0.100559,0.032358,0.201886,0.357505,0.242394,-0.161871,-0.059232,0.295370,-0.835621,0.241652,0.066063,-0.009430,-0.083676,0.850416,0,0.145473,0.048083,0.207293,0.068069,0.241652
hs300,3y,60d604801d85f24098425aebcb76cd2f,VROC12,12日量变动速率指标, 成交量减N日前的成交量，再除以N日前的成交量，放大100倍，得到VROC值 ，n=12,0.835830,0.233753,0.157299,0.203655,1.066626,0.558091,0.244192,0.078476,0.011643,0.227652,0.199039,0.531563,-0.334508,-0.131348,0.413574,-1.331711,0.544827,0.066063,-0.019270,-0.198481,0.840720,0,0.432183,0.132248,0.106342,0.716946,0.544827
hs300,3y,d7e7032d01c572b9aaa812fe9e2f5918,TVMA6,6日成交金额的移动平均值, 6日成交金额的移动平均值,0.309212,0.097640,0.029620,0.167657,0.376883,0.057509,0.161071,0.052997,-0.012257,0.255113,0.063768,0.070176,-0.108743,-0.039025,0.253884,-0.654921,0.063843,0.066063,-0.027606,-0.196355,0.921053,0,0.075790,0.025583,0.217792,-0.119481,0.063843
hs300,3y,cf6655bc941a46fb268903d29b135153,total_operating_revenue_per_share_ttm,每股营业总收入TTM, 营业总收入（TTM）除以总股本,0.592743,0.174622,0.101832,0.102500,1.021271,0.006162,0.432566,0.132352,0.062181,0.246432,0.436569,0.004392,-0.094029,-0.033569,0.293716,-0.492437,0.005277,0.066063,-0.006600,-0.084140,0.821330,0,0.034860,0.011919,0.231549,-0.187961,0.005277
hs300,3y,af47c78ff0d9578bedef4a323b8593fe,cfo_to_ev,经营活动产生的现金流量净额与企业价值之比TTM, 经营活动产生的现金流量净额TTM / 企业价值。其中，企业价值=司市值+负债合计-货币资金,0.297939,0.094362,0.026546,0.258530,0.299758,0.014208,0.261223,0.083558,0.016410,0.192894,0.248967,0.015682,-0.044940,-0.015774,0.240078,-0.563027,0.014945,0.066063,0.011252,0.134109,0.814404,0,0.017794,0.006118,0.222658,-0.342038,0.014945
hs300,3y,bdc7756e56e0aa5a533b420f2d49ffa1,accounts_payable_turnover_days,应付账款周转天数, 应付账款周转天数 = 360 / 应付账款周转率,0.361172,0.112512,0.043571,0.226622,0.435956,0.006489,0.070103,0.023705,-0.039733,0.301006,-0.079108,0.004992,-0.215529,-0.080511,0.290939,-0.950195,0.005741,0.066063,-0.006925,-0.074574,0.827109,0,0.216786,0.070201,0.167952,0.238129,0.005741
hs300,3y,b84c02cba4ab89517a7a9c2af297b4d2,net_profit_ratio,销售净利率, 售净利率=净利润（TTM）/营业收入（TTM）,0.301951,0.095531,0.027642,0.210409,0.308659,0.005793,0.161555,0.053148,-0.012114,0.236318,0.076735,0.007087,-0.128121,-0.046302,0.237012,-0.765133,0.006440,0.066063,0.000918,0.010748,0.829640,0,0.105545,0.035304,0.113413,-0.041634,0.006440
hs300,3y,d57480bf678a70e0616d77bd44d61940,net_non_operating_income_to_total_profit,营业外收支利润净额/利润总额, 营业外收支利润净额/利润总额,0.553906,0.164638,0.092467,0.209954,0.649072,0.012031,0.517563,0.155147,0.083563,0.173781,0.744361,0.013181,-0.062582,-0.022099,0.228110,-0.501049,0.012606,0.066063,0.002484,0.041587,0.752078,0,0.020456,0.007026,0.177506,-0.266050,0.012606
hs300,3y,4290966ec39bbec2fc8bb06ac76ec184,operating_revenue_growth_rate,营业收入增长率, 营业收入增长率=（今年营业收入（TTM）/去年营业收入（TTM））-1,0.231805,0.074751,0.008149,0.196736,0.183754,0.010531,0.535837,0.159938,0.088057,0.291315,0.555262,0.009789,0.223782,0.072325,0.305686,0.209608,0.010160,0.066063,-0.000353,-0.003470,0.826870,0,-0.237178,-0.089366,0.438161,-0.838856,0.010160
