universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
hs300,10y,9ace91b613578dda4fa73c70b9bc9291,total_profit_growth_rate,利润总额增长率, 利润总额增长率=(今年利润总额（TTM）/去年利润总额（TTM）)-1,0.510526,0.043438,0.000737,0.280810,0.019373,0.012067,1.138525,0.081515,0.037255,0.514618,0.191599,0.011822,0.398043,0.035147,0.428316,-0.036097,0.011944,0.042670,0.003600,0.036926,0.831271,0,-0.399756,-0.051260,0.502333,-0.678824,0.011944
hs300,10y,bdaccb093df433c168b39c86c5871a25,non_operating_net_profit_ttm,营业外收支净额TTM, 营业外收入（TTM） - 营业外支出（TTM）,1.067359,0.077748,0.033642,0.302651,0.224688,0.008246,0.672184,0.054433,0.011282,0.298560,0.092164,0.007251,-0.226841,-0.026174,0.314041,-0.887325,0.007748,0.042670,-0.001082,-0.017846,0.744637,0,0.225464,0.021182,0.171333,-0.252329,0.007748
hs300,10y,a1d97b600643df22f30752754fc7a1bc,intangible_asset_ratio,无形资产比率, 无形资产比率=(无形资产+研发支出+商誉)/总资产,1.451905,0.096870,0.051982,0.416383,0.282117,0.004346,0.583617,0.048534,0.005624,0.386130,0.043922,0.002695,-0.388763,-0.049483,0.390122,-0.974468,0.003520,0.042670,-0.000979,-0.014082,0.779290,0,0.507451,0.043219,0.261486,0.035057,0.003520
hs300,10y,a4995a88d982db7920ce5b4c18d6dfdd,np_parent_company_owners_growth_rate,归属母公司股东的净利润增长率, (今年归属于母公司所有者的净利润（TTM）/去年归属于母公司所有者的净利润（TTM）)-1,0.370417,0.033019,-0.009255,0.312575,-0.038578,0.012486,1.064608,0.077600,0.033501,0.528911,0.175005,0.012088,0.476504,0.040991,0.428799,0.007466,0.012287,0.042670,0.003201,0.033272,0.825083,0,-0.429108,-0.056151,0.492467,-0.724541,0.012287
hs300,10y,1a532e6646eea3f843b06fe9f5f091fa,MLEV,市场杠杆, 市场杠杆=非流动负债合计/(非流动负债合计+总市值),1.349275,0.092045,0.047355,0.494627,0.244155,0.011963,0.391630,0.034657,-0.007685,0.312318,-0.028414,0.015139,-0.480016,-0.065196,0.553810,-0.810904,0.013551,0.042670,0.003790,0.033125,0.871287,0,0.633335,0.051881,0.413134,0.091583,0.013551
hs300,10y,704d3f36132afc2b5106ce3a5d4b65ba,Kurtosis20,个股收益的20日峰度, 取21个交易日的收盘价数据，计算日收益率，再计算其峰度值,1.315646,0.090423,0.045799,0.317822,0.283544,0.191064,0.914678,0.069257,0.025499,0.334386,0.162513,0.157632,-0.212799,-0.024365,0.415427,-0.618618,0.174348,0.042670,-0.001339,-0.018297,0.763614,0,0.143706,0.013939,0.298181,-0.250474,0.174348
hs300,10y,9a7cc112ce63a2360bdf6800a7703b5c,sharpe_ratio_20,20日夏普比率, （Rp - Rf） / Sigma p 其中，Rp是个股的年化收益率，Rf是无风险利率（在这里设置为0.04），Sigma p是个股的收益波动率（标准差）,0.084210,0.008370,-0.032896,0.452201,-0.187008,0.188748,1.979480,0.119130,0.073331,0.417375,0.383163,0.187022,1.628186,0.104749,0.276901,0.425541,0.187885,0.042670,-0.014928,-0.105254,0.891089,0,-0.696186,-0.115576,0.698064,-1.022476,0.187885
hs300,10y,9e80e93d22fdb3d1aeb4850f7842762e,financing_cash_growth_rate,筹资活动产生的现金流量净额增长率, 过去12个月的筹资现金流量净额 / 4季度前的12个月的筹资现金流量净额 - 1,0.911399,0.069068,0.025318,0.315033,0.165412,0.014415,0.809799,0.063065,0.019561,0.358808,0.132469,0.015273,-0.088158,-0.009469,0.262430,-0.583206,0.014844,0.042670,0.000726,0.012254,0.745875,0,0.022776,0.002324,0.314060,-0.444168,0.014844
hs300,10y,cbf4751ae951134225b3507b2c2ca197,net_invest_cash_flow_ttm,投资活动现金流量净额TTM, 计算过去12个月 投资活动现金流量净额 之和,0.785873,0.061608,0.018163,0.311387,0.119628,0.011088,0.989122,0.073470,0.029540,0.490772,0.177182,0.014288,0.080374,0.008002,0.380168,-0.330956,0.012688,0.042670,-0.001586,-0.018731,0.819719,0,-0.154614,-0.017167,0.389414,-0.591269,0.012688
hs300,10y,ab888a92a3b9b69305e51be9adf08741,debt_to_equity_ratio,产权比率, 产权比率=负债合计/归属母公司所有者权益合计,0.899994,0.068409,0.024685,0.484900,0.152785,0.007224,0.292117,0.026773,-0.015246,0.313238,-0.070700,0.005069,-0.365151,-0.045762,0.553019,-0.709089,0.006147,0.042670,0.001904,0.020331,0.847360,0,0.366767,0.032736,0.353181,-0.060063,0.006147
