universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
zz500,10y,2674dbbda5257fa2eeedcdb56ffcb289,adjusted_profit_to_total_profit,扣除非经常损益后的净利润/净利润, 扣除非经常损益后的净利润/净利润,0.297108,0.027181,-0.005450,0.497154,-0.059348,0.014950,0.500736,0.042739,0.009614,0.447033,0.012451,0.018820,0.141086,0.013699,0.205938,-0.390759,0.016885,0.032810,-0.002466,-0.048699,0.704086,0,-0.161313,-0.017972,0.230846,-0.861314,0.016885
zz500,10y,f6cfd4306f4197fdcf9e0080e06fec46,non_recurring_gain_loss,非经常性损益, 净利润-扣除非经常损益后的净利润(元),0.539455,0.045481,0.012268,0.412178,0.025701,0.023994,1.342140,0.091703,0.057022,0.387961,0.249979,0.019383,0.468680,0.040421,0.181288,0.006198,0.021689,0.032810,0.007148,0.136714,0.698721,0,-0.348907,-0.043273,0.445859,-1.226861,0.021689
zz500,10y,ab9ccac03d1f8299cab358752f331f21,account_receivable_turnover_rate,应收账款周转率,"即，TTM(营业收入,0)/（AvgQ(应收账款,4,0) + AvgQ(应收票据,4,0) + AvgQ(预收账款,4,0) ）",0.353615,0.031707,-0.001069,0.491766,-0.037218,0.009211,0.765633,0.060361,0.026675,0.364898,0.098841,0.007940,0.191784,0.018252,0.213601,-0.202807,0.008575,0.032810,0.006489,0.071796,0.811881,0,-0.249475,-0.029152,0.437887,-0.644879,0.008575
zz500,10y,ec1918d83227fe18101fb7caca5dda76,equity_turnover_rate,股东权益周转率, 股东权益周转率=营业收入(ttm)/股东权益,0.757787,0.059874,0.026204,0.403237,0.092400,0.006710,-0.025728,-0.002684,-0.034366,0.503267,-0.205232,0.004831,-0.467207,-0.062848,0.491029,-1.450922,0.005771,0.032810,-0.002387,-0.039927,0.718118,0,0.787381,0.061700,0.108668,0.306130,0.005771
zz500,10y,1cb45619653844d1e61c09bc9caf1fb4,cashflow_per_share_ttm,每股现金流量净额，根据当时日期来获取最近变更日的总股本, 现金流量净额（TTM）除以总股本,0.121355,0.011878,-0.020267,0.457090,-0.132146,0.016428,0.971478,0.072484,0.038414,0.396473,0.153365,0.014028,0.711980,0.056993,0.091523,0.238684,0.015228,0.032810,0.004834,0.096122,0.689228,0,-0.443967,-0.058714,0.448139,-1.386552,0.015228
zz500,10y,2360cf4e1901021b9f5c1339e4015c93,liquidity,流动性因子, 0.35 * 月换手率 + 0.35 * 季度平均平均月换手率 + 0.3 * 年度平均月换手率，之后将结果和市值因子做回归，取残差（去除和市值因子的共线性）,0.947032,0.071106,0.037079,0.376506,0.186076,0.015790,-0.121968,-0.013320,-0.044665,0.677486,-0.183084,0.015872,-0.514281,-0.071742,0.725036,-0.547764,0.015831,0.032810,-0.031660,-0.165846,0.925299,0,0.374898,0.033367,0.473045,-0.032514,0.015831
zz500,10y,9ffdf0ab71313841feb3d2dbe2321ab4,Variance60,60日收益方差, 取61个交易日的收盘价，算出日收益率，再取方差,0.972740,0.072555,0.038482,0.338864,0.192374,0.036162,-0.075143,-0.008021,-0.039534,0.624437,-0.176443,0.036721,-0.484498,-0.066030,0.665088,-0.660394,0.036441,0.032810,-0.033878,-0.214048,0.907965,0,0.510567,0.043441,0.369239,0.021434,0.036441
zz500,10y,d12284c4c1a577fc5daae7c63ccdf501,goods_sale_and_service_render_cash_ttm,销售商品提供劳务收到的现金, 计算过去12个月 销售商品提供劳务收到的现金 之和,0.280597,0.025825,-0.006763,0.532718,-0.063780,0.011959,1.115462,0.080306,0.045987,0.351863,0.193459,0.006897,0.522742,0.044305,0.285948,0.041135,0.009428,0.032810,0.011760,0.113850,0.826661,0,-0.409523,-0.052863,0.440170,-0.887275,0.009428
zz500,10y,69cf458eaf472b5c8207bea873fb526a,Kurtosis60,个股收益的60日峰度, 取61个交易日的收盘价数据，计算日收益率，再计算其峰度值,0.297534,0.027216,-0.005417,0.411914,-0.060771,0.079662,0.461707,0.039910,0.006875,0.476523,-0.000449,0.061265,0.064438,0.006459,0.237207,-0.396064,0.070463,0.032810,-0.000392,-0.005617,0.745770,0,-0.123667,-0.013517,0.390060,-0.631941,0.070463
zz500,10y,61f73f327ea456839d0d049bf09bd206,VEMA5,成交量的5日指数移动平均,,1.879160,0.115185,0.079758,0.346065,0.395509,0.059140,0.101630,0.010028,-0.022058,0.465780,-0.127489,0.065291,-0.601574,-0.090508,0.649160,-1.252662,0.062215,0.032810,-0.024515,-0.262797,0.821709,0,1.258422,0.087614,0.180534,0.457015,0.062215
zz500,10y,3347eb38a310903e3d5b3edfe8727b68,gross_profit_ttm,毛利TTM, 计算过去12个月毛利之和,0.024772,0.002526,-0.029322,0.488405,-0.168981,0.016617,1.075833,0.078202,0.043950,0.353855,0.190219,0.009993,0.820615,0.063718,0.286428,0.205732,0.013305,0.032810,0.014889,0.147311,0.834915,0,-0.517244,-0.072328,0.564953,-0.974332,0.013305
zz500,10y,8d756b11c75093f56f631812a6b986b5,VOL240,240日平均换手率," 240日换手率的均值,单位为%",1.122286,0.080665,0.046335,0.371310,0.223366,0.010071,0.066315,0.006641,-0.025337,0.568475,-0.123616,0.008131,-0.448503,-0.059508,0.613176,-0.694297,0.009101,0.032810,-0.020736,-0.160799,0.879488,0,0.485594,0.041650,0.326056,0.011510,0.009101
zz500,10y,a1010573f368db9b79518b55dcd9efad,VEMA26,成交量的26日指数移动平均,,1.388956,0.093933,0.059181,0.354349,0.281921,0.020170,0.186413,0.017778,-0.014554,0.442463,-0.094181,0.020707,-0.481432,-0.065459,0.534536,-1.039205,0.020438,0.032810,-0.017648,-0.193891,0.825010,0,0.744853,0.059067,0.211279,0.187893,0.020438
zz500,10y,19a0fd898b34e9ed043498837c99e2fd,operating_profit_per_share,每股营业利润, 每股营业利润,-0.241398,-0.028081,-0.058956,0.611554,-0.310117,0.022530,2.148689,0.125521,0.089765,0.402363,0.412346,0.016879,2.849606,0.149085,0.171776,1.076553,0.019705,0.032810,0.016419,0.171872,0.844820,0,-0.765040,-0.138701,0.769836,-1.763586,0.019705
zz500,10y,36b683a63e9b595b6bde9ec94d86096f,VOSC,成交量震荡, 'VEMA12'和'VEMA26'两者的差值，再求差值与'VEMA12'的比，最后将比值放大100倍，得到VOSC值,0.760654,0.060052,0.026376,0.400697,0.097807,0.135384,-0.235650,-0.027324,-0.058224,0.604628,-0.299006,0.149183,-0.575391,-0.084521,0.609962,-1.087938,0.142283,0.032810,-0.031695,-0.309664,0.847297,0,1.073597,0.078082,0.153092,0.332726,0.142283
zz500,10y,d624c3908065441f0aeb48c650093b40,TVSTD6,6日成交金额的标准差, 6日成交额的标准差,1.334175,0.091319,0.056651,0.335502,0.292009,0.164786,-0.102000,-0.011030,-0.042448,0.577674,-0.209237,0.158913,-0.589129,-0.087620,0.668437,-1.042792,0.161850,0.032810,-0.040508,-0.336912,0.884441,0,1.104249,0.079715,0.218893,0.324511,0.161850
zz500,10y,cd7b904cfab2698530fdef3ab022dd50,total_profit_to_cost_ratio,成本费用利润率, 成本费用利润率=利润总额/(营业成本+财务费用+销售费用+管理费用)，以上科目使用的都是TTM的数值,0.137610,0.013380,-0.018813,0.444920,-0.119823,0.015582,0.634849,0.051981,0.018562,0.426853,0.057338,0.007868,0.344676,0.031002,0.257515,-0.101245,0.011725,0.032810,0.007238,0.094162,0.797771,0,-0.311188,-0.037703,0.452824,-0.874315,0.011725
zz500,10y,c56d5ec4b97d39b464fe068973d72d89,operating_cost_to_operating_revenue_ratio,销售成本率, 销售成本率=营业成本（TTM）/营业收入（TTM）,0.384000,0.034070,0.001220,0.419729,-0.028143,0.007024,0.240325,0.022452,-0.010029,0.422829,-0.082969,0.008456,-0.133943,-0.014716,0.355150,-0.629780,0.007740,0.032810,-0.000587,-0.007849,0.796946,0,0.073159,0.007306,0.262322,-0.376313,0.007740
zz500,10y,d9e4a8d148d387e04818012903601292,capital_reserve_fund_per_share,每股资本公积金, 每股资本公积金,0.499790,0.042671,0.009548,0.380986,0.012826,0.008364,0.510259,0.043419,0.010272,0.490678,0.014650,0.004784,0.031050,0.003157,0.318186,-0.470316,0.006574,0.032810,-0.001175,-0.017713,0.739166,0,-0.086147,-0.009244,0.228030,-0.628627,0.006574
zz500,10y,dedd2316f29a4b8021e54908288ee1a3,cash_earnings_to_price_ratio,现金流量市值比, 过去一年的净经营现金流 除以 当前股票市值,0.116425,0.011418,-0.020712,0.567428,-0.118693,0.009843,1.091257,0.079025,0.044747,0.339337,0.191007,0.014598,0.545425,0.045898,0.389243,0.038454,0.012220,0.032810,0.018190,0.131312,0.875774,0,-0.485013,-0.066126,0.658668,-0.691878,0.012220
zz500,10y,610328988920292c21a39f29a43914e0,historical_sigma,残差历史波动率, 计算 beta 收益之时的残差收益率的波动率,0.949963,0.071272,0.037240,0.346767,0.176162,0.010715,-0.016806,-0.001746,-0.033458,0.607053,-0.152042,0.012580,-0.476771,-0.064596,0.657041,-0.549746,0.011647,0.032810,-0.035275,-0.190519,0.919934,0,0.345200,0.031043,0.406027,-0.047074,0.011647
zz500,10y,efeb7ff31a8600425c3bb04068ffbcb9,earnings_growth,5年盈利增长率, 过去5个财年 年均EPS增长 除以 年均EPS,0.303547,0.027706,-0.004942,0.444419,-0.055106,0.003904,0.512904,0.043608,0.010454,0.491587,0.016463,0.003835,0.104157,0.010267,0.270268,-0.322416,0.003870,0.032810,0.000867,0.010119,0.809740,0,-0.166028,-0.018543,0.353090,-0.634823,0.003870
zz500,10y,d50c094fdacfb6e0d810e3117f6d4b7c,earnings_to_price_ratio,利润市值比, 过去一年的净利润 除以 当前股票市值，等于 PE 的倒数,0.144280,0.013991,-0.018221,0.517861,-0.104780,0.011447,0.970901,0.072452,0.038382,0.381069,0.165588,0.015155,0.340295,0.030655,0.414010,-0.055239,0.013301,0.032810,0.023478,0.147970,0.894346,0,-0.434778,-0.057122,0.624793,-0.574111,0.013301
zz500,10y,98844710e426394d599e4236132d9db6,market_leverage,市场杠杆, (普通股市值 + 优先股账面价值(中国股票为0) + 长期负债账面价值) / 普通股市值，长期负债账面价值=长期借款+应付债券,0.661791,0.053755,0.020280,0.441427,0.061945,0.004888,0.821567,0.063776,0.029982,0.385808,0.117970,0.003577,-0.062109,-0.006589,0.445666,-0.302996,0.004233,0.032810,0.007978,0.052642,0.901362,0,-0.152241,-0.016883,0.488576,-0.369944,0.004233
zz500,10y,c0a94189cfac5c3fb09d58182d832885,natural_log_of_market_cap,对数总市值, 对数总市值=总市值的对数,0.591654,0.049081,0.015754,0.496002,0.039795,0.024685,0.666915,0.054090,0.020604,0.506494,0.062711,0.027328,-0.080969,-0.008667,0.574035,-0.305774,0.026006,0.032810,-0.005084,-0.034395,0.895997,0,-0.148924,-0.016487,0.517974,-0.354906,0.026006
zz500,10y,01fbbcf4357bd213e39d3f316ca3cac0,average_share_turnover_quarterly,季度平均平均月换手率, ln(sum(turn_over_ratio)/3)，turn_over_ratio为过去三个月（63个交易日）的平均换手率,0.913002,0.069160,0.035195,0.340116,0.174590,0.013279,0.013741,0.001408,-0.030405,0.658809,-0.130633,0.012342,-0.424463,-0.055362,0.693916,-0.463145,0.012811,0.032810,-0.029445,-0.150589,0.920759,0,0.151645,0.014662,0.511464,-0.123057,0.012811
zz500,10y,dc831e3c57cd7f0717bd86e7e3c34991,cumulative_range,收益离差," ln(1+Z_max)-ln(1+Z_min)，其中Z_t=cumsum(ln(1+r_t))，t=1,2,...,12，r_t为向前推t个月的月收益",0.819384,0.063644,0.029854,0.332654,0.139421,0.120947,0.032292,0.003282,-0.028590,0.602595,-0.133512,0.090767,-0.393003,-0.050165,0.630495,-0.496606,0.105857,0.032810,-0.028914,-0.162104,0.908791,0,0.196568,0.018673,0.444396,-0.117463,0.105857
zz500,10y,d315562231f6604e77bb22d2c9ded722,cube_of_size,市值立方因子, 标准化市值因子的三次方，之后将结果和标准化市值因子回归取残差（去除和市值因子的共线性），然后残差值进行缩尾处理（将3倍标准差之外的点处理成3倍标准差）和标准化,0.665859,0.054021,0.020537,0.506494,0.062413,0.027480,0.534408,0.045127,0.011926,0.499636,0.022705,0.028581,-0.180754,-0.020344,0.504587,-0.384077,0.028031,0.032810,0.004574,0.031700,0.885266,0,-0.039254,-0.004120,0.570137,-0.280814,0.028031
zz500,10y,d3f2236c22f7494fe1bfa3df1e65f6fe,share_turnover_monthly,月换手率, ln(sum(turn_over_ratio))，turn_over_ratio为过去21个交易日的换手率,0.994442,0.073765,0.039654,0.368675,0.199521,0.027302,-0.307939,-0.037236,-0.067821,0.741277,-0.259436,0.026148,-0.624102,-0.095949,0.786541,-0.651761,0.026725,0.032810,-0.036757,-0.190676,0.918283,0,0.744002,0.059014,0.459700,0.091156,0.026725
zz500,10y,a452998f88ac3618e8c93d9787b65b80,book_leverage,账面杠杆, (普通股账面价值 + 优先股账面价值 + 长期负债账面价值) / 普通股账面价值,0.786109,0.061622,0.027896,0.384274,0.100464,0.003948,0.395542,0.034956,0.002078,0.461396,-0.024443,0.002885,-0.287503,-0.034343,0.456045,-0.598070,0.003417,0.032810,0.001464,0.012975,0.867107,0,0.208175,0.019687,0.367523,-0.163411,0.003417
zz500,10y,0898178483536c4436ecd33d8338ee9f,growth,成长因子,0.18 * 预期长期盈利增长率 + 0.11 * 预期短期盈利增长率 + 0.24 * 5年盈利增长率 + 0.47 * 5年营业收入增长率,0.219292,0.020651,-0.011773,0.414686,-0.089054,0.006701,0.853782,0.065700,0.031845,0.456910,0.115465,0.007913,0.481249,0.041335,0.280874,0.015265,0.007307,0.032810,0.000022,0.000280,0.802311,0,-0.373208,-0.047018,0.429038,-0.994894,0.007307
zz500,10y,ca4c7ca0250b66d5457e92a13f1c9254,earnings_yield,盈利预期因子,0.68 * 预期市盈率 + 0.21 * 营业收益市值比 + 0.11 * 利润市值比,0.124469,0.012167,-0.019987,0.533503,-0.110084,0.021460,1.116648,0.080369,0.046048,0.370492,0.199285,0.020338,0.412727,0.036263,0.413276,-0.019564,0.020899,0.032810,0.020884,0.120442,0.898886,0,-0.503203,-0.069582,0.641116,-0.573663,0.020899
