universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
hs300,10y,890afd4816dac7d620b888bdb66a3ba7,net_profit_to_total_operate_revenue_ttm,净利润与营业总收入之比, 净利润与营业总收入之比=净利润（TTM）/营业总收入（TTM）,0.842226,0.065013,0.021429,0.315989,0.133660,0.007333,1.491862,0.098699,0.053736,0.436962,0.300191,0.005232,0.273185,0.025212,0.406915,-0.118223,0.006282,0.042670,0.003456,0.040021,0.813531,0,-0.325176,-0.039736,0.533609,-0.637436,0.006282
hs300,10y,4e5f8ad2b5aedd30418776b97c01353c,PSY,心理线指标, n日内连续上涨的天数/n *100。 本因子的计算窗口为12日。,0.938070,0.070596,0.026784,0.312757,0.177670,0.232142,0.558815,0.046829,0.003989,0.528251,0.036861,0.244196,-0.231558,-0.026788,0.497258,-0.562450,0.238169,0.042670,-0.014301,-0.134683,0.841584,0,0.135006,0.013141,0.263702,-0.226189,0.238169
hs300,10y,59f2906b8017722e3adf92584c7b532c,VROC12,12日量变动速率指标, 成交量减N日前的成交量，再除以N日前的成交量，放大100倍，得到VROC值 ，n=12,0.789183,0.061810,0.018357,0.409499,0.117358,0.552021,0.858737,0.065993,0.022369,0.319616,0.135716,0.525269,-0.018842,-0.001959,0.436448,-0.357022,0.538645,0.042670,-0.015767,-0.164491,0.833333,0,-0.108567,-0.011778,0.498046,-0.440570,0.538645
hs300,10y,3326f8d81af9f3c31fe7f6fac5853086,TVMA6,6日成交金额的移动平均值, 6日成交金额的移动平均值,0.994732,0.073782,0.029839,0.244443,0.229977,0.061245,1.089852,0.078951,0.034796,0.389399,0.181293,0.070508,0.088113,0.008744,0.463188,-0.241162,0.065876,0.042670,-0.019017,-0.135179,0.902228,0,-0.219136,-0.025178,0.537862,-0.502889,0.065876
hs300,10y,b5276ba4712b5848b373443768c033d1,total_operating_revenue_per_share_ttm,每股营业总收入TTM, 营业总收入（TTM）除以总股本,1.093528,0.079146,0.034984,0.310423,0.278640,0.007511,0.966741,0.072218,0.028339,0.440429,0.160481,0.005082,-0.031296,-0.003273,0.385598,-0.362423,0.006296,0.042670,-0.001283,-0.015995,0.817657,0,-0.100983,-0.010915,0.269889,-0.426427,0.006296
hs300,10y,9a2a55c921755d1752e20f08786a3fa3,cfo_to_ev,经营活动产生的现金流量净额与企业价值之比TTM, 经营活动产生的现金流量净额TTM / 企业价值。其中，企业价值=司市值+负债合计-货币资金,0.444167,0.038617,-0.003887,0.373250,-0.007484,0.014543,0.797565,0.062322,0.018848,0.314652,0.117431,0.017416,0.197326,0.018739,0.245837,-0.212269,0.015979,0.042670,0.009150,0.106319,0.823432,0,-0.242241,-0.028192,0.415779,-0.680838,0.015979
hs300,10y,6bfcd7699fef654ca8e7ad6e0c060b42,accounts_payable_turnover_days,应付账款周转天数, 应付账款周转天数 = 360 / 应付账款周转率,0.789944,0.061857,0.018402,0.364410,0.128640,0.006062,0.462477,0.039967,-0.002592,0.481493,-0.000157,0.005799,-0.185601,-0.020943,0.380891,-0.479791,0.005930,0.042670,-0.002687,-0.029471,0.834639,0,0.050047,0.005047,0.324731,-0.275176,0.005930
hs300,10y,c43525a38a9da918fd90ad3ee2e4259e,net_profit_ratio,销售净利率, 售净利率=净利润（TTM）/营业收入（TTM）,0.748723,0.059309,0.015959,0.322290,0.103295,0.006935,1.462598,0.097362,0.052454,0.447332,0.291030,0.006348,0.329162,0.029769,0.393374,-0.081441,0.006641,0.042670,0.003258,0.038060,0.810644,0,-0.354438,-0.044114,0.541952,-0.669596,0.006641
hs300,10y,47b71ab698facc5d64183d54d55ddf4c,net_non_operating_income_to_total_profit,营业外收支利润净额/利润总额, 营业外收支利润净额/利润总额,1.416295,0.095217,0.050396,0.354712,0.288149,0.011756,1.085282,0.078707,0.034563,0.302168,0.223589,0.012156,-0.212769,-0.024362,0.326808,-0.583446,0.011956,0.042670,0.001653,0.023302,0.780528,0,0.128860,0.012574,0.177506,-0.248619,0.011956
hs300,10y,74a4f729f40813cc81278ec6474d569f,operating_revenue_growth_rate,营业收入增长率, 营业收入增长率=（今年营业收入（TTM）/去年营业收入（TTM））-1,0.376910,0.033523,-0.008772,0.324736,-0.036890,0.011086,1.751024,0.109964,0.064540,0.515124,0.313457,0.009804,0.952349,0.071407,0.539890,0.203756,0.010445,0.042670,-0.000663,-0.006283,0.847772,0,-0.593312,-0.088582,0.674657,-0.834195,0.010445
